,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
38,0.0648074,0.053101595,0.051390864,0.05264458,0.10180374,0.083340324,0.061559185,0.062097356,0.059150215,0.05015328,0.12421294,0.047818795,0.06765548,0.04647003,0.073794216
39,0.047012366,0.03580923,0.19438167,0.046087697,0.07236269,0.08761069,0.036043778,0.04429583,0.06345232,0.05549341,0.07200348,0.061134,0.05891585,0.07488736,0.05050962
40,0.060115997,0.039546974,0.048885796,0.050131753,0.11300532,0.10067538,0.055825837,0.057281356,0.070052974,0.05026266,0.12808236,0.049248714,0.06626387,0.041867957,0.068753004
41,0.068371065,0.042176664,0.053806845,0.05787239,0.06701392,0.094762705,0.06098485,0.05310475,0.07837166,0.07884236,0.08529648,0.08049228,0.058994733,0.057187755,0.06272152
42,0.038231563,0.03175448,0.34299448,0.038121387,0.047925256,0.056518685,0.018538725,0.048169415,0.04545811,0.05954064,0.050359845,0.047837388,0.051527027,0.07808505,0.044937868
43,0.060666125,0.28334433,0.03412429,0.07541203,0.03437613,0.033036478,0.0894848,0.060127877,0.036365308,0.051792815,0.038433306,0.056776077,0.034505144,0.0669937,0.0445616
44,0.057967424,0.025416782,0.055602137,0.047287732,0.16744357,0.08140959,0.042772118,0.05124786,0.06314757,0.047666978,0.08745152,0.060349654,0.079747036,0.042550478,0.089939624
45,0.05346549,0.043531265,0.10269257,0.048614025,0.08506272,0.08031572,0.041501284,0.04825347,0.070253626,0.05461631,0.06978283,0.077577,0.07961868,0.06824517,0.0764699
46,0.056849718,0.030864825,0.068396,0.051118515,0.08705818,0.09627345,0.048565537,0.051838715,0.09655652,0.062261198,0.07449846,0.076788895,0.0728018,0.05242243,0.07370568
47,0.05524608,0.049327154,0.046533637,0.04368314,0.10470535,0.11233093,0.04734019,0.053792622,0.061080843,0.051939476,0.138634,0.053081688,0.069843784,0.042567294,0.06989381
48,0.054053146,0.020997802,0.06568684,0.042914066,0.15912092,0.08993569,0.036097214,0.05011958,0.07639768,0.04613708,0.07769479,0.07159029,0.079307824,0.04274678,0.08720027
49,0.056997646,0.12396154,0.1325235,0.052979365,0.030026617,0.034779537,0.05810532,0.056616955,0.03814289,0.07009822,0.02930221,0.059549578,0.046256993,0.1756835,0.034976155
50,0.06750886,0.042432893,0.06567716,0.065546244,0.062488686,0.07373229,0.065380715,0.046829116,0.10389697,0.08389661,0.0690743,0.058728024,0.06746034,0.0568904,0.07045732
51,0.057587553,0.02267151,0.07117778,0.042233836,0.16244607,0.0906578,0.037169937,0.049952645,0.07193193,0.04381749,0.07835213,0.06712316,0.074231416,0.046819128,0.083827585
